ds,sku,sales,promo,dayofweek,month,lag_1,lag_7,ma7,ma30
2024-01-01,SKU-1,118,0,0,1,118.0,118.0,118.0,118.0
2024-01-02,SKU-1,117,0,1,1,118.0,118.0,117.5,117.5
2024-01-03,SKU-1,119,0,2,1,117.0,118.0,118.0,118.0
2024-01-04,SKU-1,115,0,3,1,119.0,118.0,117.25,117.25
2024-01-05,SKU-1,124,0,4,1,115.0,118.0,118.6,118.6
2024-01-06,SKU-1,126,0,5,1,124.0,118.0,119.83333333333333,119.83333333333333
2024-01-07,SKU-1,136,0,6,1,126.0,118.0,122.14285714285714,122.14285714285714
2024-01-08,SKU-1,116,0,0,1,136.0,118.0,121.85714285714286,121.375
2024-01-09,SKU-1,134,0,1,1,116.0,117.0,124.28571428571429,122.77777777777777
2024-01-10,SKU-1,118,0,2,1,134.0,119.0,124.14285714285714,122.3
2024-01-11,SKU-1,117,0,3,1,118.0,115.0,124.42857142857143,121.81818181818181
2024-01-12,SKU-1,120,0,4,1,117.0,124.0,123.85714285714286,121.66666666666667
2024-01-13,SKU-1,191,1,5,1,120.0,126.0,133.14285714285714,127.0
2024-01-14,SKU-1,130,0,6,1,191.0,136.0,132.28571428571428,127.21428571428571
2024-01-15,SKU-1,129,0,0,1,130.0,116.0,134.14285714285714,127.33333333333333
2024-01-16,SKU-1,125,0,1,1,129.0,134.0,132.85714285714286,127.1875
2024-01-17,SKU-1,174,1,2,1,125.0,118.0,140.85714285714286,129.94117647058823
2024-01-18,SKU-1,172,1,3,1,174.0,117.0,148.71428571428572,132.27777777777777
2024-01-19,SKU-1,127,0,4,1,172.0,120.0,149.71428571428572,132.0
2024-01-20,SKU-1,135,0,5,1,127.0,191.0,141.71428571428572,132.15
2024-01-21,SKU-1,191,1,6,1,135.0,130.0,150.42857142857142,134.95238095238096
2024-01-22,SKU-1,116,0,0,1,191.0,129.0,148.57142857142858,134.0909090909091
2024-01-23,SKU-1,137,0,1,1,116.0,125.0,150.28571428571428,134.2173913043478
2024-01-24,SKU-1,131,0,2,1,137.0,174.0,144.14285714285714,134.08333333333334
2024-01-25,SKU-1,126,0,3,1,131.0,172.0,137.57142857142858,133.76
2024-01-26,SKU-1,125,0,4,1,126.0,127.0,137.28571428571428,133.42307692307693
2024-01-27,SKU-1,140,0,5,1,125.0,135.0,138.0,133.66666666666666
2024-01-28,SKU-1,135,0,6,1,140.0,191.0,130.0,133.71428571428572
2024-01-29,SKU-1,120,0,0,1,135.0,116.0,130.57142857142858,133.24137931034483
2024-01-30,SKU-1,131,0,1,1,120.0,137.0,129.71428571428572,133.16666666666666
2024-01-31,SKU-1,136,0,2,1,131.0,131.0,130.42857142857142,133.76666666666668
2024-02-01,SKU-1,184,1,3,2,136.0,126.0,138.71428571428572,136.0
2024-02-02,SKU-1,126,0,4,2,184.0,125.0,138.85714285714286,136.23333333333332
2024-02-03,SKU-1,127,0,5,2,126.0,140.0,137.0,136.63333333333333
2024-02-04,SKU-1,133,0,6,2,127.0,135.0,136.71428571428572,136.93333333333334
2024-02-05,SKU-1,199,1,0,2,133.0,120.0,148.0,139.36666666666667
2024-02-06,SKU-1,121,0,1,2,199.0,131.0,146.57142857142858,138.86666666666667
2024-02-07,SKU-1,126,0,2,2,121.0,136.0,145.14285714285714,139.2
2024-02-08,SKU-1,134,0,3,2,126.0,184.0,138.0,139.2
2024-02-09,SKU-1,131,0,4,2,134.0,126.0,138.71428571428572,139.63333333333333
2024-02-10,SKU-1,135,0,5,2,131.0,127.0,139.85714285714286,140.23333333333332
2024-02-11,SKU-1,149,0,6,2,135.0,133.0,142.14285714285714,141.2
2024-02-12,SKU-1,127,0,0,2,149.0,199.0,131.85714285714286,139.06666666666666
2024-02-13,SKU-1,132,0,1,2,127.0,121.0,133.42857142857142,139.13333333333333
2024-02-14,SKU-1,134,0,2,2,132.0,126.0,134.57142857142858,139.3
2024-02-15,SKU-1,128,0,3,2,134.0,134.0,133.71428571428572,139.4
2024-02-16,SKU-1,124,0,4,2,128.0,131.0,132.71428571428572,137.73333333333332
2024-02-17,SKU-1,140,0,5,2,124.0,135.0,133.42857142857142,136.66666666666666
2024-02-18,SKU-1,198,1,6,2,140.0,149.0,140.42857142857142,139.03333333333333
2024-02-19,SKU-1,136,0,0,2,198.0,127.0,141.71428571428572,139.06666666666666
2024-02-20,SKU-1,134,0,1,2,136.0,132.0,142.0,137.16666666666666
2024-02-21,SKU-1,134,0,2,2,134.0,134.0,142.0,137.76666666666668
2024-02-22,SKU-1,132,0,3,2,134.0,128.0,142.57142857142858,137.6
2024-02-23,SKU-1,141,0,4,2,132.0,124.0,145.0,137.93333333333334
2024-02-24,SKU-1,136,0,5,2,141.0,140.0,144.42857142857142,138.26666666666668
2024-02-25,SKU-1,131,0,6,2,136.0,198.0,134.85714285714286,138.46666666666667
2024-02-26,SKU-1,125,0,0,2,131.0,136.0,133.28571428571428,137.96666666666667
2024-02-27,SKU-1,135,0,1,2,125.0,134.0,133.42857142857142,137.96666666666667
2024-02-28,SKU-1,141,0,2,2,135.0,134.0,134.42857142857142,138.66666666666666
2024-02-29,SKU-1,137,0,3,2,141.0,132.0,135.14285714285714,138.86666666666667
2024-03-01,SKU-1,133,0,4,3,137.0,141.0,134.0,138.76666666666668
2024-03-02,SKU-1,143,0,5,3,133.0,136.0,135.0,137.4
2024-03-03,SKU-1,142,0,6,3,143.0,131.0,136.57142857142858,137.93333333333334
2024-03-04,SKU-1,141,0,0,3,142.0,125.0,138.85714285714286,138.4
2024-03-05,SKU-1,144,0,1,3,141.0,135.0,140.14285714285714,138.76666666666668
2024-03-06,SKU-1,130,0,2,3,144.0,141.0,138.57142857142858,136.46666666666667
2024-03-07,SKU-1,122,0,3,3,130.0,137.0,136.42857142857142,136.5
2024-03-08,SKU-1,183,1,4,3,122.0,133.0,143.57142857142858,138.4
2024-03-09,SKU-1,135,0,5,3,183.0,143.0,142.42857142857142,138.43333333333334
2024-03-10,SKU-1,147,0,6,3,135.0,142.0,143.14285714285714,138.96666666666667
2024-03-11,SKU-1,132,0,0,3,147.0,141.0,141.85714285714286,138.86666666666667
2024-03-12,SKU-1,174,1,1,3,132.0,144.0,146.14285714285714,139.7
2024-03-13,SKU-1,134,0,2,3,174.0,130.0,146.71428571428572,139.93333333333334
2024-03-14,SKU-1,128,0,3,3,134.0,122.0,147.57142857142858,139.8
2024-03-15,SKU-1,147,0,4,3,128.0,183.0,142.42857142857142,140.23333333333332
2024-03-16,SKU-1,145,0,5,3,147.0,135.0,143.85714285714286,140.8
2024-03-17,SKU-1,146,0,6,3,145.0,147.0,143.71428571428572,141.53333333333333
2024-03-18,SKU-1,141,0,0,3,146.0,132.0,145.0,141.56666666666666
2024-03-19,SKU-1,143,0,1,3,141.0,174.0,140.57142857142858,139.73333333333332
2024-03-20,SKU-1,145,0,2,3,143.0,134.0,142.14285714285714,140.03333333333333
2024-03-21,SKU-1,135,0,3,3,145.0,128.0,143.14285714285714,140.06666666666666
2024-03-22,SKU-1,129,0,4,3,135.0,147.0,140.57142857142858,139.9
2024-03-23,SKU-1,138,0,5,3,129.0,145.0,139.57142857142858,140.1
2024-03-24,SKU-1,143,0,6,3,138.0,146.0,139.14285714285714,140.16666666666666
2024-03-25,SKU-1,123,0,0,3,143.0,141.0,136.57142857142858,139.73333333333332
2024-03-26,SKU-1,145,0,1,3,123.0,143.0,136.85714285714286,140.2
2024-03-27,SKU-1,127,0,2,3,145.0,145.0,134.28571428571428,140.26666666666668
2024-03-28,SKU-1,142,0,3,3,127.0,135.0,135.28571428571428,140.5
2024-03-29,SKU-1,138,0,4,3,142.0,129.0,136.57142857142858,140.4
2024-03-30,SKU-1,146,0,5,3,138.0,138.0,137.71428571428572,140.7
2024-03-31,SKU-1,141,0,6,3,146.0,143.0,137.42857142857142,140.96666666666667
2024-04-01,SKU-1,140,0,0,4,141.0,123.0,139.85714285714286,140.86666666666667
