customer_id,tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,payment_method,internet_service,churn
CUST-1,39,62.05,2420.0074144680443,3,Month-to-month,Electronic check,Fiber optic,0
CUST-2,52,98.47,5128.467808359148,1,Month-to-month,Bank transfer,Fiber optic,0
CUST-3,29,83.94,2440.7177909290363,5,Two year,Mailed check,DSL,1
CUST-4,15,100.5,1510.0372902050851,1,Month-to-month,Credit card,DSL,0
CUST-5,43,110.32,4743.812531133094,1,One year,Credit card,DSL,0
CUST-6,8,81.73,664.6267075752802,2,One year,Electronic check,Fiber optic,1
CUST-7,21,118.05,2459.795417816631,1,Month-to-month,Credit card,None,0
CUST-8,39,80.81,3144.1006730673957,0,One year,Credit card,None,1
CUST-9,58,83.66,4842.493371667438,1,Month-to-month,Credit card,Fiber optic,0
CUST-10,19,75.48,1444.182577730029,1,Month-to-month,Credit card,Fiber optic,0
CUST-11,23,29.1,661.9090738432153,0,One year,Mailed check,None,0
CUST-12,11,92.64,1006.1804460770954,1,Month-to-month,Bank transfer,DSL,1
CUST-13,11,74.74,827.6332754611693,2,Two year,Mailed check,Fiber optic,0
CUST-14,24,65.09,1553.0725241909029,1,Month-to-month,Mailed check,None,0
CUST-15,53,111.05,5882.142735174916,2,Month-to-month,Electronic check,DSL,1
CUST-16,36,49.8,1816.611439008817,3,Month-to-month,Credit card,None,0
CUST-17,40,72.36,2902.2713855400348,2,Month-to-month,Mailed check,None,0
CUST-18,24,89.76,2152.1295939258534,1,Month-to-month,Credit card,Fiber optic,0
CUST-19,3,99.65,297.7387187405582,3,One year,Mailed check,None,0
CUST-20,22,65.93,1459.5348758622147,0,One year,Mailed check,Fiber optic,0
CUST-21,53,104.21,5529.758704301046,1,One year,Electronic check,Fiber optic,1
CUST-22,2,96.89,194.53599489450937,2,Month-to-month,Bank transfer,DSL,1
CUST-23,24,26.62,639.9155994223943,1,One year,Bank transfer,DSL,0
CUST-24,44,24.59,1067.1615151956203,0,One year,Mailed check,DSL,0
