ds,sku,sales,promo
2024-01-01,SKU-1,118,0
2024-01-02,SKU-1,117,0
2024-01-03,SKU-1,119,0
2024-01-04,SKU-1,115,0
2024-01-05,SKU-1,124,0
2024-01-06,SKU-1,126,0
2024-01-07,SKU-1,136,0
2024-01-08,SKU-1,116,0
2024-01-09,SKU-1,134,0
2024-01-10,SKU-1,118,0
2024-01-11,SKU-1,117,0
2024-01-12,SKU-1,120,0
2024-01-13,SKU-1,191,1
2024-01-14,SKU-1,130,0
2024-01-15,SKU-1,129,0
2024-01-16,SKU-1,125,0
2024-01-17,SKU-1,174,1
2024-01-18,SKU-1,172,1
2024-01-19,SKU-1,127,0
2024-01-20,SKU-1,135,0
2024-01-21,SKU-1,191,1
2024-01-22,SKU-1,116,0
2024-01-23,SKU-1,137,0
2024-01-24,SKU-1,131,0
2024-01-25,SKU-1,126,0
2024-01-26,SKU-1,125,0
2024-01-27,SKU-1,140,0
2024-01-28,SKU-1,135,0
2024-01-29,SKU-1,120,0
2024-01-30,SKU-1,131,0
2024-01-31,SKU-1,136,0
2024-02-01,SKU-1,184,1
2024-02-02,SKU-1,126,0
2024-02-03,SKU-1,127,0
2024-02-04,SKU-1,133,0
2024-02-05,SKU-1,199,1
2024-02-06,SKU-1,121,0
2024-02-07,SKU-1,126,0
2024-02-08,SKU-1,134,0
2024-02-09,SKU-1,131,0
2024-02-10,SKU-1,135,0
2024-02-11,SKU-1,149,0
2024-02-12,SKU-1,127,0
2024-02-13,SKU-1,132,0
2024-02-14,SKU-1,134,0
2024-02-15,SKU-1,128,0
2024-02-16,SKU-1,124,0
2024-02-17,SKU-1,140,0
2024-02-18,SKU-1,198,1
2024-02-19,SKU-1,136,0
2024-02-20,SKU-1,134,0
2024-02-21,SKU-1,134,0
2024-02-22,SKU-1,132,0
2024-02-23,SKU-1,141,0
2024-02-24,SKU-1,136,0
2024-02-25,SKU-1,131,0
2024-02-26,SKU-1,125,0
2024-02-27,SKU-1,135,0
2024-02-28,SKU-1,141,0
2024-02-29,SKU-1,137,0
2024-03-01,SKU-1,133,0
2024-03-02,SKU-1,143,0
2024-03-03,SKU-1,142,0
2024-03-04,SKU-1,141,0
2024-03-05,SKU-1,144,0
2024-03-06,SKU-1,130,0
